source	source_number	source_name	target	target_number	target_name	distance	line_number
263	2402	大葆台	264	2403	稻田	6	FS
264	2403	稻田	265	2404	长阳	5	FS
265	2404	长阳	266	2405	篱笆房	3	FS
266	2405	篱笆房	267	2406	广阳城	3	FS
267	2406	广阳城	268	2407	良乡大学城北	3	FS
268	2407	良乡大学城北	269	2408	良乡大学城	2	FS
269	2408	良乡大学城	270	2409	良乡大学城西	3	FS
270	2409	良乡大学城西	271	2410	良乡南关	2	FS
271	2410	良乡南关	272	2411	苏庄	2	FS
263	2402	大葆台	262	2401	郭公庄	2	FS
264	2403	稻田	263	2402	大葆台	6	FS
265	2404	长阳	264	2403	稻田	5	FS
266	2405	篱笆房	265	2404	长阳	3	FS
267	2406	广阳城	266	2405	篱笆房	3	FS
268	2407	良乡大学城北	267	2406	广阳城	3	FS
269	2408	良乡大学城	268	2407	良乡大学城北	2	FS
270	2409	良乡大学城西	269	2408	良乡大学城	3	FS
271	2410	良乡南关	270	2409	良乡大学城西	2	FS
272	2411	苏庄	271	2410	良乡南关	2	FS
273	2501	东直门	275	2503	T3航站楼	25	JC
275	2503	T3航站楼	273	2501	东直门	29	JC
273	2501	东直门	276	2504	T2航站楼	29	JC
276	2504	T2航站楼	273	2501	东直门	25	JC
274	2502	三元桥	275	2503	T3航站楼	15	JC
275	2503	T3航站楼	274	2502	三元桥	19	JC
274	2502	三元桥	276	2504	T2航站楼	19	JC
276	2504	T2航站楼	274	2502	三元桥	15	JC
273	2501	东直门	27	205	东直门	5
273	2501	东直门	209	1316	东直门	3
27	205	东直门	273	2501	东直门	5
209	1316	东直门	273	2501	东直门	3
274	2502	三元桥	162	1014	三元桥	3
162	1014	三元桥	274	2502	三元桥	3
11	112	复兴门	37	215	复兴门	3	0
37	215	复兴门	11	112	复兴门	3	0
17	118	建国门	30	208	建国门	2	0
30	208	建国门	17	118	建国门	2	0
40	218	西直门	52	412	西直门	2	0
52	412	西直门	40	218	西直门	2	0
57	417	西单	12	113	西单	7	0
12	113	西单	57	417	西单	7	0
58	418	宣武门	35	213	宣武门	2	0
35	213	宣武门	58	418	宣武门	2	0
87	512	雍和宫	26	204	雍和宫	3	0
26	204	雍和宫	87	512	雍和宫	3	0
16	117	东单	92	517	东单	4	0
92	517	东单	16	117	东单	4	0
93	518	崇文门	32	210	崇文门	4	0
32	210	崇文门	93	518	崇文门	4	0
104	606	车公庄	39	217	车公庄	3	0
39	217	车公庄	104	606	车公庄	3	0
105	607	平安里	54	414	平安里	5	0
54	414	平安里	105	607	平安里	5	0
108	610	东四	90	515	东四	3	0
90	515	东四	108	610	东四	3	0
109	611	朝阳门	29	207	朝阳门	2	0
29	207	朝阳门	109	611	朝阳门	2	0
133	815	鼓楼大街	24	202	鼓楼大街	4	0
24	202	鼓楼大街	133	815	鼓楼大街	4	0
135	817	南锣鼓巷	107	609	南锣鼓巷	2	0
107	609	南锣鼓巷	135	817	南锣鼓巷	2	0
136	901	国家图书馆	50	410	国家图书馆	2	0
50	410	国家图书馆	136	901	国家图书馆	2	0
137	902	白石桥南	102	604	白石桥南	2	0
102	604	白石桥南	137	902	白石桥南	2	0
139	904	军事博物馆	8	109	军事博物馆	5	0
8	109	军事博物馆	139	904	军事博物馆	5	0
47	407	海淀黄庄	151	1003	海淀黄庄	2	0
151	1003	海淀黄庄	47	407	海淀黄庄	2	0
157	1009	北土城	131	813	北土城	2	0
131	813	北土城	157	1009	北土城	2	0
159	1011	惠新西街南口	84	509	惠新西街南口	2	0
84	509	惠新西街南口	159	1011	惠新西街南口	2	0
166	1018	呼家楼	111	613	呼家楼	2	0
111	613	呼家楼	166	1018	呼家楼	2	0
19	120	国贸	168	1020	国贸	4	0
168	1020	国贸	19	120	国贸	4	0
175	1027	宋家庄	98	523	宋家庄	2	0
98	523	宋家庄	175	1027	宋家庄	2	0
63	423	角门西	179	1031	角门西	2	0
179	1031	角门西	63	423	角门西	2	0
186	1038	六里桥	142	907	六里桥	2	0
142	907	六里桥	186	1038	六里桥	2	0
7	108	公主坟	188	1040	公主坟	2	0
188	1040	公主坟	7	108	公主坟	2	0
100	602	慈寿寺	190	1042	慈寿寺	3	0
190	1042	慈寿寺	100	602	慈寿寺	3	0
194	1301	西直门	40	218	西直门	8	0
194	1301	西直门	52	412	西直门	8	0
202	1309	霍营	123	805	霍营	5	0
